y,collegeDegree,female,age,homeOwn,govt,length,id,aboveav
Very High,0,1,56,Yes,Yes,30.270000457763672,53,1
Fairly Low,0,1,80,Yes,No,125.12000274658203,70,0
Average,1,1,30,Yes,No,68.41999816894531,70,0
Very High,1,1,44,Yes,Yes,71.62000274658203,72,1
Fairly Low,0,1,19,No,No,45.630001068115234,72,0
Fairly High,1,1,54,No,No,71.81999969482422,72,1
Fairly Low,0,1,19,Yes,No,49.45000076293945,72,0
Very High,1,0,60,Yes,No,69.37999725341797,72,1
Fairly High,1,1,38,Yes,No,53.81999969482422,72,1
Fairly High,0,0,63,Yes,No,88.029998779296875,68,1
Fairly High,1,1,35,No,Yes,58.25,53,1
Fairly Low,0,0,50,No,No,94.8499984741211,48,0
Average,1,1,30,Yes,No,58.06999969482422,48,0
Average,0,1,87,Yes,No,92.44999694824219,61,0
Average,0,0,62,Yes,No,75.83000183105469,61,0
Average,1,0,65,Yes,No,128.89999389648438,67,0
Fairly High,1,1,69,Yes,No,121.5999984741211,67,1
Average,0,1,61,No,No,100.1500015258789,39,0
Fairly High,0,0,57,No,No,79.56999969482422,39,1
Very Low,1,1,56,Yes,No,55.72999954223633,46,0
Average,1,0,42,Yes,No,76.529998779296875,46,0
Average,1,0,41,Yes,Yes,72.43000030517578,46,0
Average,1,1,37,Yes,No,58.380001068115234,52,0
Fairly Low,1,1,30,Yes,Yes,48.83000183105469,52,0
Fairly Low,1,0,31,No,No,59.75,52,0
Very High,1,1,54,Yes,Yes,78.1500015258789,45,1
Fairly High,0,1,51,Yes,No,70.05000305175781,45,1
Fairly High,1,1,59,Yes,No,79.9000015258789,45,1
Fairly High,1,0,34,Yes,No,57.18000030517578,66,1
Average,0,0,39,Yes,No,53.72999954223633,66,0
Average,0,1,57,Yes,No,70.9800033569336,66,0
Fairly High,1,0,26,No,No,48.81999969482422,66,1
Average,0,1,32,No,No,62.150001525878906,66,0
Fairly High,1,1,51,Yes,No,101.87999725341797,89,1
Fairly High,0,0,74,Yes,No,116.05000305175781,102,1
Very High,0,0,69,Yes,No,114.68000030517578,89,1
Average,0,0,48,No,Yes,107.41999816894531,46,0
Fairly High,1,1,59,Yes,No,110.66999816894531,46,1
Very High,1,0,24,Yes,No,80.91999816894531,89,1
Average,1,1,34,No,No,134.3000030517578,89,0
Average,1,0,41,Yes,No,91.66999816894531,89,0
Fairly High,0,0,42,Yes,No,75.4800033569336,89,1
Fairly Low,0,1,60,No,No,71.779998779296875,76,0
Fairly High,0,0,32,Yes,No,81.75,76,1
Very High,1,0,33,Yes,No,91.93000030517578,76,1
Fairly High,1,0,36,Yes,No,50.79999923706055,62,1
Average,0,1,39,Yes,Yes,69.41999816894531,62,0
Average,0,0,42,Yes,No,47.779998779296875,62,0
Very High,1,0,75,Yes,No,66.08000183105469,62,1
Very High,1,0,50,Yes,No,57.380001068115234,51,1
Fairly High,1,0,40,Yes,No,115.44999694824219,51,1
Average,1,1,34,No,No,75.69999694824219,80,0
Average,1,0,26,No,No,56.16999816894531,80,0
Very High,0,1,56,Yes,No,88.87999725341797,80,1
Average,1,1,25,Yes,Yes,52.029998779296875,52,0
Fairly High,1,0,38,No,Yes,87.3499984741211,52,1
Average,1,0,62,Yes,No,74.41999816894531,46,0
Fairly High,1,0,47,Yes,No,69.68000030517578,46,1
Average,0,0,33,No,Yes,40.529998779296875,50,0
Fairly High,1,0,59,Yes,No,87.94999694824219,50,1
Fairly High,0,1,46,Yes,No,47.5,50,1
Fairly High,0,0,26,No,No,52.150001525878906,50,1
Fairly Low,0,0,39,No,No,51.22999954223633,50,0
Fairly Low,0,1,21,No,Yes,50.43000030517578,72,0
Very Low,1,1,34,No,Yes,59.43000030517578,72,0
Fairly High,0,0,37,No,No,65.37999725341797,72,1
Average,0,0,68,Yes,No,67.83000183105469,47,0
Fairly Low,0,1,32,No,No,69.470001220703125,47,0
Very High,1,0,44,Yes,No,60.599998474121094,47,1
Fairly Low,0,1,19,Yes,No,54.279998779296875,47,0
Average,0,0,72,Yes,No,55.75,73,0
Fairly High,1,1,45,Yes,No,60.5,73,1
Very High,1,0,47,Yes,No,77.37999725341797,73,1
Very Low,0,1,21,No,No,55.20000076293945,72,0
Fairly Low,1,0,73,Yes,No,66.25,59,0
Fairly High,0,1,67,No,No,92.06999969482422,59,1
Very High,1,1,61,Yes,No,82.0999984741211,47,1
Fairly High,1,1,61,Yes,Yes,120.58000183105469,69,1
Very High,1,1,48,Yes,No,108.75,69,1
Fairly High,0,1,78,Yes,No,76.87999725341797,1,1
Fairly Low,0,0,37,Yes,No,77.93000030517578,1,0
Fairly Low,0,1,29,No,Yes,116.8499984741211,77,0
Fairly Low,0,1,82,Yes,No,81.68000030517578,77,0
Very High,1,1,77,Yes,No,84.5999984741211,78,1
Very High,0,0,79,Yes,No,111.06999969482422,78,1
Fairly Low,0,0,44,Yes,Yes,109.2300033569336,58,0
Very High,1,1,37,Yes,No,135.6300048828125,58,1
Fairly Low,0,0,51,Yes,No,69.18000030517578,58,0
Very Low,0,1,53,Yes,No,116.81999969482422,58,0
Average,0,1,64,Yes,No,74.83000183105469,66,0
Average,0,1,28,No,No,92.12000274658203,67,0
Very High,1,0,23,No,Yes,125.18000030517578,71,1
Very High,1,1,31,No,No,104.5999984741211,71,1
Fairly Low,1,1,31,No,No,58.43000030517578,71,0
Fairly High,1,0,66,Yes,No,56.029998779296875,96,1
Very High,1,0,59,Yes,No,74.06999969482422,96,1
Average,0,0,46,No,No,64.7300033569336,94,0
Very High,1,0,37,Yes,Yes,70.2699966430664,78,1
Average,1,1,24,No,No,67.87000274658203,78,0
Very High,0,0,44,Yes,No,61.529998779296875,78,1
Fairly High,1,0,57,Yes,No,87.0999984741211,78,1
Average,0,0,82,Yes,No,99.87000274658203,78,0
Average,0,1,58,Yes,No,52.349998474121094,78,0
Average,1,1,54,Yes,Yes,63.81999969482422,78,0
Fairly Low,1,0,57,No,No,99.43000030517578,78,0
Fairly High,1,1,51,Yes,Yes,51.81999969482422,62,1
Very High,0,1,45,Yes,No,51.880001068115234,38,1
Very High,1,0,30,Yes,No,41.08000183105469,38,1
Fairly Low,0,1,28,Yes,Yes,60.08000183105469,38,0
Fairly Low,0,1,24,No,No,69.3499984741211,60,0
Fairly Low,0,1,61,Yes,No,51.849998474121094,60,0
Fairly High,1,0,51,Yes,No,63.900001525878906,60,1
Average,1,0,70,Yes,No,85.87000274658203,71,0
Average,0,1,77,Yes,No,109.81999969482422,99,0
Very High,0,0,42,No,No,78.6500015258789,75,1
Very Low,0,1,20,Yes,No,43.599998474121094,45,0
Very Low,0,1,26,No,No,60.18000030517578,43,0
Average,0,0,43,No,No,85.5199966430664,77,0
Average,1,1,26,Yes,No,65.9000015258789,77,0
Very Low,0,0,25,No,No,62.04999923706055,43,0
Very High,0,0,22,No,No,65.06999969482422,43,1
Fairly High,1,0,63,Yes,No,49.58000183105469,50,1
Average,0,1,47,Yes,No,54.22999954223633,76,0
Average,0,1,46,Yes,No,81.94999694824219,76,0
Very High,1,0,38,Yes,No,140.3699951171875,89,1
Fairly High,0,1,37,Yes,No,91.25,89,1
Fairly High,0,0,34,Yes,Yes,48.81999969482422,89,1
Very Low,0,1,23,No,No,42.31999969482422,5,0
Fairly Low,0,0,43,No,No,118.44999694824219,14,0
Average,0,0,52,Yes,No,128.72000122070312,14,0
Fairly Low,0,1,57,Yes,No,40.47999954223633,29,0
Average,0,0,44,Yes,No,52,29,0
Average,0,0,37,No,No,51.349998474121094,29,0
Very High,0,0,45,Yes,No,58.04999923706055,59,1
Average,0,1,49,No,No,58.099998474121094,59,0
Average,0,0,26,Yes,Yes,44.31999969482422,52,0
Average,1,1,32,No,No,50.619998931884766,59,0
Average,0,0,36,No,No,54.79999923706055,59,0
Fairly High,1,1,52,Yes,No,99.529998779296875,46,1
Fairly High,0,1,26,No,No,48.650001525878906,88,1
Very High,1,1,59,Yes,No,65.62000274658203,88,1
Fairly High,1,1,60,Yes,No,63.08000183105469,88,1
Very High,1,0,57,Yes,Yes,97.91999816894531,52,1
Average,0,1,69,Yes,No,57.06999969482422,52,0
Fairly Low,0,0,20,No,No,37.08000183105469,52,0
Fairly High,1,0,23,No,Yes,76.5199966430664,52,1
Fairly High,0,1,54,No,Yes,55,52,1
Fairly High,0,0,35,Yes,No,49.27000045776367,33,1
Fairly High,1,0,35,Yes,Yes,50.529998779296875,33,1
Average,1,1,25,No,Yes,89.3499984741211,14,0
Fairly Low,0,1,40,Yes,No,47.08000183105469,33,0
Average,1,1,72,Yes,No,58.97999954223633,33,0
Very High,1,0,53,Yes,No,61.279998779296875,33,1
Average,0,0,68,Yes,No,57.66999816894531,16,0
Fairly High,0,1,26,No,No,49.470001220703125,38,1
Average,0,0,73,Yes,No,70.220001220703125,17,0
Fairly High,0,1,46,Yes,No,45.02000045776367,17,1
Very High,0,1,51,Yes,No,100.12000274658203,17,1
Fairly High,0,0,43,No,No,83.16999816894531,17,1
Fairly Low,0,1,41,No,No,62.18000030517578,11,0
Average,1,0,24,No,No,41.849998474121094,11,0
Fairly High,0,0,54,Yes,Yes,47.349998474121094,11,1
Fairly High,1,1,41,Yes,Yes,60.16999816894531,11,1
Average,0,1,22,No,No,39.56999969482422,38,0
Average,0,0,49,No,No,78.91999816894531,92,0
Fairly High,1,0,33,Yes,No,34.119998931884766,45,1
Fairly High,1,0,41,Yes,No,66.58000183105469,45,1
Fairly High,1,1,38,Yes,No,63.099998474121094,45,1
Fairly High,0,1,NA,Yes,No,57.849998474121094,45,1
Very High,1,1,44,Yes,No,67.720001220703125,45,1
Average,1,0,42,Yes,No,62.43000030517578,69,0
Very High,1,1,36,Yes,Yes,57.599998474121094,47,1
Fairly Low,0,0,31,No,No,53.20000076293945,47,0
Very High,0,0,50,Yes,No,56.77000045776367,47,1
Very Low,0,1,54,No,No,54.75,47,0
Very Low,0,0,24,Yes,No,40.529998779296875,5,0
Very Low,0,0,19,No,No,41.470001220703125,5,0
Very High,1,0,38,Yes,No,64.62999725341797,5,1
Average,0,0,82,Yes,No,73.9000015258789,54,0
Average,0,0,48,Yes,No,62.470001220703125,54,0
Average,1,1,25,Yes,No,104.08000183105469,14,0
Average,0,1,24,Yes,No,41.220001220703125,103,0
Fairly High,0,1,43,Yes,No,22.1200008392334,103,1
Fairly High,1,1,54,Yes,No,53.58000183105469,24,1
Very High,1,0,26,Yes,No,63.900001525878906,24,1
Very High,1,0,52,Yes,No,83.05000305175781,24,1
Very High,1,0,84,No,No,81.62999725341797,92,1
Average,0,1,64,No,No,83.75,92,0
Fairly High,1,0,31,No,No,58.720001220703125,92,1
Fairly High,0,1,57,Yes,No,57.720001220703125,25,1
Fairly Low,1,0,35,No,No,81.470001220703125,24,0
Average,0,1,42,Yes,No,56.04999923706055,25,0
Fairly Low,0,1,39,No,No,55.369998931884766,24,0
Average,1,1,41,Yes,Yes,59.529998779296875,24,0
Fairly High,1,1,47,No,Yes,65.80000305175781,25,1
Fairly Low,1,0,27,Yes,Yes,40,32,0
Very Low,1,1,43,Yes,No,36.529998779296875,32,0
Average,1,0,29,No,No,39.68000030517578,32,0
Fairly Low,1,1,58,Yes,Yes,45.75,32,0
Average,1,1,49,No,Yes,61.45000076293945,32,0
Very Low,0,0,32,No,No,41.68000030517578,32,0
Very Low,0,0,39,No,No,41.04999923706055,32,0
Average,0,0,58,No,No,58.349998474121094,32,0
Fairly Low,0,1,33,No,No,49.81999969482422,75,0
Very High,1,0,27,No,No,87.80000305175781,75,1
Very High,1,0,27,No,No,54.08000183105469,11,1
Fairly High,1,0,48,Yes,No,50.099998474121094,11,1
Fairly Low,0,1,26,No,No,46.95000076293945,11,0
Very High,1,0,58,Yes,No,61.119998931884766,11,1
Fairly High,1,0,37,Yes,No,75.9000015258789,53,1
Average,0,1,53,Yes,No,65.56999969482422,53,0
Average,0,1,42,Yes,No,85.16999816894531,48,0
Average,0,0,28,No,No,77.720001220703125,48,0
Fairly Low,0,0,35,No,No,64.37999725341797,14,0
Fairly High,1,0,47,Yes,No,85,14,1
Average,1,1,37,No,No,181.72999572753906,14,0
Fairly Low,0,1,60,Yes,No,196.3300018310547,9,0
Average,0,1,51,Yes,No,45.56999969482422,9,0
Average,0,1,42,No,No,50.380001068115234,53,0
Fairly Low,0,1,58,Yes,No,49.16999816894531,12,0
Fairly Low,0,1,74,Yes,No,59.33000183105469,12,0
Fairly High,1,1,40,Yes,Yes,77.12999725341797,12,1
Average,0,0,30,Yes,No,63.349998474121094,66,0
Fairly Low,0,1,18,Yes,No,42.16999816894531,66,0
Very High,1,1,40,No,No,66.91999816894531,85,1
Average,0,1,96,Yes,No,103.16999816894531,85,0
Very High,0,0,79,No,No,59.099998474121094,103,1
Fairly High,1,1,50,Yes,Yes,98.43000030517578,77,1
Average,1,0,39,No,No,55.16999816894531,77,0
Fairly Low,1,1,48,Yes,No,56.70000076293945,1,0
Fairly Low,0,1,36,No,No,45.150001525878906,23,0
Fairly Low,1,1,36,Yes,No,48.18000030517578,23,0
Fairly Low,0,0,19,Yes,No,35.47999954223633,23,0
Fairly High,1,0,52,Yes,No,56.41999816894531,23,1
Average,0,0,73,Yes,No,42.650001525878906,83,0
Fairly High,1,1,43,Yes,Yes,66.91999816894531,83,1
Very High,1,1,48,Yes,Yes,55.93000030517578,83,1
Very High,1,1,78,Yes,No,92.37000274658203,83,1
Average,0,0,36,Yes,No,66.18000030517578,83,0
Average,0,1,73,Yes,No,60.47999954223633,104,0
Very High,0,1,NA,No,Yes,50.029998779296875,104,1
Fairly Low,0,1,50,No,No,56.20000076293945,104,0
Average,0,1,36,Yes,Yes,52.650001525878906,104,0
Very High,1,1,44,Yes,Yes,62.66999816894531,104,1
Average,1,0,29,No,No,77.779998779296875,74,0
Very High,1,0,56,Yes,No,82.9800033569336,74,1
Fairly High,1,1,42,No,No,65.87999725341797,53,1
Fairly High,0,0,80,No,No,64.9000015258789,100,1
Fairly High,0,1,40,No,No,111.06999969482422,100,1
Fairly High,0,1,48,Yes,No,103.43000030517578,58,1
Fairly High,1,1,53,Yes,No,89.720001220703125,58,1
Fairly Low,0,0,25,Yes,No,61.79999923706055,58,0
Very Low,0,0,35,No,No,50.119998931884766,78,0
Average,0,0,74,Yes,No,68,1,0
Fairly High,1,0,30,No,No,74.0999984741211,83,1
Average,0,1,34,No,No,57.369998931884766,45,0
Fairly Low,0,1,33,Yes,No,64.5,45,0
Average,0,1,48,Yes,No,85.25,45,0
Fairly Low,0,1,25,No,No,45.650001525878906,52,0
Fairly High,1,0,30,No,No,46.33000183105469,52,1
Very High,1,0,27,Yes,Yes,72.6500015258789,6,1
Fairly High,1,0,27,No,Yes,64.08000183105469,52,1
Very Low,0,0,23,No,No,37.79999923706055,52,0
Average,0,0,46,Yes,No,72.62999725341797,66,0
Fairly High,1,1,42,Yes,No,62.650001525878906,77,1
Fairly Low,1,0,39,Yes,No,54.93000030517578,68,0
Very Low,0,1,64,No,No,45.099998474121094,68,0
Fairly High,0,0,34,No,No,61.83000183105469,68,1
Average,0,1,70,Yes,No,68.2300033569336,65,0
Fairly High,0,1,76,Yes,No,63.779998779296875,65,1
Fairly Low,0,0,50,Yes,No,36.06999969482422,29,0
Fairly Low,0,1,41,Yes,No,64.529998779296875,18,0
Very Low,1,1,25,No,No,54.54999923706055,18,0
Fairly High,0,1,29,Yes,No,56.02000045776367,30,1
Average,0,1,72,Yes,No,63.349998474121094,30,0
Very Low,0,1,62,No,No,71.19999694824219,30,0
Fairly Low,0,0,30,No,No,49.41999816894531,18,0
Fairly Low,0,1,19,No,No,58.56999969482422,18,0
Very High,1,0,45,Yes,Yes,71.9000015258789,18,1
Average,0,0,38,Yes,No,52.880001068115234,25,0
Fairly High,1,0,22,No,No,50.66999816894531,21,1
Fairly High,1,0,27,Yes,No,58.900001525878906,21,1
Average,0,1,58,Yes,No,50.25,21,0
Fairly High,1,0,31,Yes,No,50.5,21,1
Fairly High,0,0,37,Yes,Yes,156.02999877929688,82,1
Average,1,1,35,Yes,No,71.2699966430664,22,0
Average,0,0,37,Yes,No,56.72999954223633,79,0
Very High,0,0,57,Yes,No,73.62999725341797,38,1
Average,1,1,31,No,No,33.81999969482422,38,0
Fairly High,0,1,47,Yes,Yes,66.12999725341797,7,1
Fairly High,1,0,33,Yes,No,55,7,1
Average,1,1,42,Yes,No,59.599998474121094,7,0
Very High,1,0,64,No,No,69.18000030517578,7,1
Very High,1,1,50,Yes,Yes,76.18000030517578,7,1
Average,0,0,52,No,No,68,7,0
Very High,1,1,31,No,Yes,61.02000045776367,27,1
Very High,1,0,47,No,No,66.1500015258789,27,1
Very Low,0,1,95,No,No,89.9800033569336,77,0
Average,0,0,35,Yes,No,77.2300033569336,77,0
Fairly High,1,0,51,No,No,78.58000183105469,64,1
Very Low,0,0,36,No,No,57.81999969482422,64,0
Very High,1,0,57,Yes,No,89.83000183105469,64,1
Average,1,0,27,No,No,67.19999694824219,64,0
Fairly Low,0,0,45,No,No,49.77000045776367,64,0
Fairly High,0,1,43,Yes,No,88.33000183105469,48,1
Average,1,1,50,Yes,No,48.91999816894531,64,0
Fairly Low,0,1,18,Yes,No,46.08000183105469,57,0
Very High,0,0,44,Yes,No,78.81999969482422,57,1
Average,0,0,52,Yes,No,90.69999694824219,57,0
Very High,1,0,53,Yes,No,89.69999694824219,57,1
Fairly Low,0,1,40,No,No,48.45000076293945,64,0
Very High,1,1,53,Yes,Yes,92.720001220703125,64,1
Average,0,0,38,No,No,82.56999969482422,64,0
Fairly High,1,1,71,Yes,No,197.64999389648438,64,1
Very High,1,1,61,Yes,No,71.66999816894531,24,1
Very High,1,1,30,No,No,73.58000183105469,24,1
Fairly High,1,0,48,Yes,Yes,68.18000030517578,24,1
Fairly High,1,0,40,Yes,No,76.30000305175781,1,1
Fairly High,0,0,73,Yes,No,49.619998931884766,1,1
Fairly High,1,1,86,Yes,No,106.6500015258789,1,1
Fairly High,0,0,34,Yes,Yes,49.400001525878906,66,1
Average,0,0,41,Yes,No,50.650001525878906,68,0
Fairly High,0,1,69,No,No,89.33000183105469,68,1
Very High,1,1,46,Yes,No,80.25,26,1
Very High,1,0,33,No,Yes,110.5999984741211,14,1
Very Low,0,0,92,Yes,No,74.970001220703125,10,0
Very High,1,0,42,Yes,No,58.52000045776367,15,1
Fairly High,0,1,57,Yes,Yes,67.43000030517578,15,1
Very Low,0,1,81,Yes,No,54.400001525878906,10,0
Fairly High,0,1,24,No,No,58.45000076293945,10,1
Very Low,0,0,51,Yes,No,48.779998779296875,10,0
Fairly Low,0,1,18,Yes,No,49.720001220703125,10,0
Fairly Low,0,1,59,No,No,58.43000030517578,10,0
Fairly Low,0,1,44,No,No,66.7300033569336,15,0
Fairly High,1,0,43,Yes,No,47.83000183105469,30,1
Fairly High,1,1,53,Yes,Yes,48.529998779296875,30,1
Fairly Low,0,1,22,No,No,41.95000076293945,30,0
Fairly Low,1,0,38,Yes,No,42.68000030517578,30,0
Fairly High,1,0,76,Yes,No,51.91999816894531,8,1
Fairly High,1,0,55,Yes,No,74.58000183105469,8,1
Fairly High,1,1,49,Yes,No,91.41999816894531,8,1
Average,0,1,25,No,No,57.619998931884766,8,0
Average,0,0,37,Yes,No,47.91999816894531,8,0
Fairly High,1,1,42,Yes,Yes,49.880001068115234,8,1
Fairly Low,0,1,97,Yes,No,45.5,8,0
Fairly High,0,0,58,Yes,No,74.5999984741211,8,1
Fairly High,0,0,66,Yes,No,77,8,1
Average,0,0,56,Yes,No,104.5199966430664,58,0
Average,0,1,19,Yes,No,47.95000076293945,33,0
Fairly High,0,0,56,Yes,No,76.62000274658203,33,1
Average,1,1,48,Yes,Yes,58.130001068115234,33,0
Very Low,0,1,39,Yes,No,51.41999816894531,33,0
Average,0,0,28,Yes,No,65.81999969482422,33,0
Fairly High,1,1,46,Yes,No,56.29999923706055,33,1
Fairly High,0,0,33,Yes,Yes,76.62000274658203,33,1
Fairly High,1,0,50,No,No,58.27000045776367,33,1
Fairly High,1,1,44,Yes,No,59.81999969482422,39,1
Fairly High,1,0,40,No,No,63.869998931884766,39,1
Fairly High,1,0,28,Yes,No,58.970001220703125,39,1
Fairly High,0,0,21,Yes,No,69.8499984741211,89,1
Very High,1,0,45,Yes,No,64.80000305175781,5,1
Fairly Low,0,1,25,No,Yes,44.400001525878906,5,0
Average,1,0,22,No,No,52.900001525878906,73,0
Average,0,0,22,No,No,40.150001525878906,73,0
Very Low,0,1,81,Yes,No,63.619998931884766,5,0
Fairly High,0,1,18,Yes,No,49.599998474121094,63,1
Fairly High,0,1,53,Yes,No,66.25,21,1
Fairly Low,0,0,45,No,No,63.650001525878906,21,0
Fairly High,0,0,56,Yes,No,77.41999816894531,21,1
Fairly Low,0,1,39,No,Yes,46.5,21,0
Average,0,1,22,Yes,No,48.22999954223633,87,0
Average,1,0,56,Yes,No,57.720001220703125,87,0
Average,0,1,69,Yes,No,56.04999923706055,87,0
Average,0,0,20,Yes,No,42.869998931884766,87,0
Fairly Low,0,1,21,Yes,No,45.18000030517578,87,0
Very High,0,0,63,Yes,No,51.95000076293945,27,1
Average,1,1,37,No,No,66.87000274658203,87,0
Very Low,0,0,35,No,No,49.16999816894531,87,0
Average,1,1,39,Yes,No,51.869998931884766,105,0
Fairly High,0,0,41,Yes,No,48.20000076293945,105,1
Fairly High,1,0,73,Yes,No,89.5,105,1
Fairly High,1,1,82,Yes,No,75.720001220703125,105,1
Very High,1,0,47,Yes,No,42.58000183105469,105,1
Very High,1,0,44,Yes,No,50.20000076293945,105,1
Very High,0,1,58,Yes,No,82.56999969482422,105,1
Average,1,1,27,Yes,No,40.869998931884766,105,0
Fairly High,0,1,66,Yes,No,52.599998474121094,105,1
Average,0,1,21,No,No,70.68000030517578,105,0
Fairly Low,0,1,39,No,No,72.18000030517578,97,0
Fairly Low,0,1,87,Yes,No,41.529998779296875,31,0
Average,0,1,57,Yes,No,62.16999816894531,43,0
Very Low,0,1,33,No,No,53.779998779296875,43,0
Very High,1,0,30,No,No,65.81999969482422,43,1
Fairly High,1,0,65,No,No,61.29999923706055,106,1
Very Low,0,0,26,No,No,38.45000076293945,68,0
Fairly Low,0,1,28,Yes,No,71.69999694824219,76,0
Very High,0,0,66,Yes,No,53.72999954223633,31,1
Very High,1,1,58,Yes,No,72.19999694824219,31,1
Fairly Low,0,0,26,No,No,52.880001068115234,30,0
Fairly High,0,1,38,No,No,88.93000030517578,31,1
Fairly Low,1,0,NA,No,No,58.380001068115234,30,0
Very High,1,1,35,Yes,No,59.369998931884766,44,1
Fairly High,0,1,50,Yes,No,56.47999954223633,23,1
Average,0,1,35,No,No,39.81999969482422,86,0
Average,0,1,39,Yes,No,117.69999694824219,86,0
Average,0,0,55,Yes,No,61.630001068115234,86,0
Average,0,1,63,Yes,No,47.97999954223633,86,0
Fairly Low,0,0,73,Yes,No,72.19999694824219,86,0
Average,0,1,73,Yes,No,70.33000183105469,86,0
Average,0,1,91,Yes,No,90.6500015258789,86,0
Fairly High,0,1,52,Yes,No,83.66999816894531,26,1
Average,0,0,46,Yes,No,45.54999923706055,26,0
Average,0,1,28,No,No,60.77000045776367,26,0
Average,0,1,54,No,Yes,56.54999923706055,26,0
Very High,0,0,33,Yes,No,59.70000076293945,26,1
Fairly High,0,0,58,Yes,No,46.33000183105469,26,1
Fairly High,1,0,32,Yes,No,51.18000030517578,26,1
Average,1,1,40,Yes,No,56.91999816894531,26,0
Very High,1,0,38,No,No,65.75,26,1
Fairly High,1,1,41,No,Yes,49.31999969482422,26,1
Fairly High,1,1,32,No,No,66.06999969482422,26,1
Very High,0,1,43,Yes,No,73.80000305175781,26,1
Average,0,0,41,Yes,No,52.400001525878906,26,0
Fairly High,1,1,32,Yes,Yes,58.900001525878906,26,1
Average,0,0,58,Yes,No,58.04999923706055,26,0
Fairly Low,0,1,61,No,No,96.7699966430664,82,0
Very High,1,0,52,Yes,No,52.41999816894531,82,1
Very High,0,0,69,No,No,211.14999389648438,82,1
Fairly Low,0,0,44,No,No,88.58000183105469,46,0
Very Low,1,0,52,Yes,No,50.650001525878906,46,0
Fairly Low,0,0,70,Yes,Yes,83.9800033569336,70,0
Fairly Low,0,1,38,No,No,42.02000045776367,88,0
Very Low,0,1,25,No,No,56.119998931884766,88,0
Average,0,1,35,Yes,No,35.43000030517578,29,0
Very High,1,0,33,Yes,No,49.099998474121094,29,1
Fairly High,1,0,51,Yes,No,48.68000030517578,29,1
Very High,1,0,32,Yes,No,62.599998474121094,29,1
Average,1,1,23,Yes,No,53.97999954223633,29,0
Average,1,1,38,No,Yes,55.43000030517578,29,0
Fairly High,1,1,27,Yes,Yes,48.20000076293945,29,1
Fairly Low,0,0,38,No,Yes,39.22999954223633,29,0
Fairly High,0,0,46,Yes,No,65,14,1
Average,1,0,24,No,No,71.83000183105469,14,0
Fairly Low,0,1,27,No,Yes,103.5999984741211,107,0
Average,0,0,48,Yes,No,50.619998931884766,44,0
Fairly High,1,1,26,No,Yes,57.75,44,1
Average,1,1,30,Yes,No,48.58000183105469,44,0
Average,1,0,40,No,No,81.05000305175781,9,0
Fairly Low,1,1,42,Yes,No,152.0800018310547,9,0
Fairly Low,0,1,38,No,Yes,44.150001525878906,12,0
Fairly High,1,1,41,Yes,No,56.349998474121094,12,1
Average,0,0,57,Yes,No,52.45000076293945,12,0
Fairly High,1,1,50,Yes,Yes,60.619998931884766,12,1
Average,0,0,20,No,No,58.75,74,0
Fairly High,1,0,73,Yes,No,97.87000274658203,74,1
Very High,1,0,41,Yes,No,92.62000274658203,74,1
Very High,1,0,54,Yes,No,80.220001220703125,74,1
Fairly High,0,1,44,Yes,Yes,121.8499984741211,85,1
Fairly High,1,1,39,Yes,No,79.93000030517578,3,1
Average,0,1,46,No,No,79.55000305175781,3,0
Fairly High,0,0,52,No,No,127.62999725341797,3,1
Average,0,1,83,Yes,No,63.22999954223633,3,0
Fairly High,0,1,37,No,No,91.33000183105469,3,1
Fairly High,0,0,28,No,No,88.18000030517578,24,1
Fairly High,1,0,37,Yes,No,89.55000305175781,24,1
Average,0,1,72,No,No,57.06999969482422,24,0
Average,0,0,42,Yes,No,58.119998931884766,24,0
Average,0,1,59,Yes,No,107.87999725341797,24,0
Fairly High,1,0,40,No,No,55.66999816894531,24,1
Very High,1,1,54,Yes,No,71.43000030517578,24,1
Fairly Low,0,1,48,Yes,No,100.81999969482422,82,0
Very High,1,0,39,Yes,No,74.58000183105469,82,1
Average,0,0,37,Yes,No,136.92999267578125,82,0
Very High,0,0,31,Yes,No,45.79999923706055,108,1
Very High,1,0,37,Yes,No,41.349998474121094,108,1
Fairly Low,0,1,18,Yes,No,59.81999969482422,108,0
Very High,1,0,63,Yes,No,68.25,108,1
Very High,1,0,78,Yes,No,82.33000183105469,108,1
Fairly High,1,0,24,Yes,No,48.529998779296875,108,1
Fairly Low,0,0,33,No,No,55.77000045776367,108,0
Average,0,1,21,No,No,51.349998474121094,108,0
Fairly Low,0,1,22,No,No,39.880001068115234,108,0
Fairly High,0,1,35,Yes,Yes,56.25,108,1
Fairly Low,1,1,30,No,Yes,41.599998474121094,108,0
Average,0,1,34,Yes,No,76.31999969482422,84,0
Very High,1,1,61,No,Yes,57.400001525878906,84,1
Very High,0,0,23,No,No,63.70000076293945,71,1
Very High,1,1,48,Yes,Yes,65.66999816894531,96,1
Average,0,1,80,Yes,No,75.41999816894531,62,0
Average,1,1,57,No,Yes,83.37999725341797,54,0
Average,0,1,37,Yes,No,60.22999954223633,96,0
Very High,1,0,32,Yes,Yes,74.0999984741211,75,1
Fairly High,0,0,80,Yes,No,74.279998779296875,75,1
Very Low,1,0,20,No,No,65.7699966430664,63,0
Average,1,0,25,No,Yes,49.43000030517578,95,0
Average,0,0,21,No,No,45.45000076293945,95,0
